"CourseTitle","Category","Sub Category","CourseWebsite","Duration","DurationTerm","StudyMode","DegreeLevel","IntakeDay","IntakeMonth","ApplyDay","ApplyMonth","City","DomesticOnly","InternationalFee","DomesticFee","FeeTerm","FeeYear","Currency","StudyLoad","Language","IELTS_Listening","IELTS_Speaking","IELTS_Writing","IELTS_Reading","IELTS_Overall","PTE_Listening","PTE_Speaking","PTE_Writing","PTE_Reading","PTE_Overall","TOEFL_Listening","TOEFL_Speaking","TOEFL_Writing","TOEFL_Reading","TOEFL_Overall","English Test","English Test Reading","English Test Listening","English Test Speaking","English Test Writing","English Test Overall","AcademicLevel","AcademicScore","ScoreType","AcademicCountry","OtherTest","Score","OtherRequirement","CourseDescription","CourseStructure","Career"
"Social Entrepreneurship",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/social-entrepreneurship/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:m.branine@abertay.ac.uk"">Dean</a> to discuss your proposal.</p>
<p>Recent years have seen the emergence of social entrepreneurship as a means of delivering services to communities, including services critical to wellbeing and prosperity. In some cases, delivery of these services has been or has traditionally been considered the role of the government.</p>
<p>A research degree in this area will prepare you for a career as a researcher and academic, as well as a diverse range of professions outside of academia, for example, working as a consultant or in public policy.</p>
                </div>",,
"Sustainability: assessment, modelling and visualisation of complex systems",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/sustainability-assessment-modelling-and-visualisation-of-complex-systems/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:a.cameron@abertay.ac.uk"">Dean</a> to discuss your proposal.</p>
<p>The Engineering Division is home to the University’s leading specialist centre - <a rel=""noopener noreferrer"" href=""https://www.abertay.ac.uk/business/services/uwtc/our-research/"" target=""_blank"" title=""UWTC"">the Urban Water Technology Centre (UTWC)</a> that has a unique focus on the interface between scientific and technological research addressing the challenges of building resilient and sustainable communities. Our strengths derive from valuable links established between academia and industry at a national and international level in the construction and civil engineering, water, waste, manufacturing, food and drinks sectors. </p>
<p>Our research significantly contributes to Abertay’s <a href=""https://www.abertay.ac.uk/research/research-themes/environment/""><strong>Environment</strong></a> research theme with a focus on applying technological and sustainable solutions to contemporary problems. Our knowledge transfer expertise and management supporting tools assist a wide range of industrial and non-industrial stakeholders such as national and local government, a wide range of private sector organisations, regulatory bodies, water and waste companies, Non-governmental organisations (NGOs) and health boards.</p>
<p>We have a formidable track record in combining academic skills and commercial expertise with our research approach being very much multi-disciplinary and industry-facing resulting in the expertise of our staff being much sought after by businesses and professionals in the field operating at an International Level. We are a member of SAGES network, a collaboration of Scottish Universities whose goal it is to provide the highest quality/world-leading postgraduate education and research experience. </p>
<p> </p>
                </div>",,
"Structural Engineering",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/structural-engineering/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:a.cameron@abertay.ac.uk"">Dean</a> to discuss your proposal.</p>
<p>The Engineering Division is home to the University’s leading specialist centre - <a rel=""noopener noreferrer"" href=""https://www.abertay.ac.uk/business/services/uwtc/our-research/"" target=""_blank"" title=""UWTC"">the Urban Water Technology Centre (UTWC)</a> that has a unique focus on the interface between scientific and technological research addressing the challenges of building resilient and sustainable communities. Our strengths derive from valuable links established between academia and industry at a national and international level in the construction and civil engineering, water, waste, manufacturing, food and drinks sectors. </p>
<p>Our research significantly contributes to Abertay’s <a href=""https://www.abertay.ac.uk/research/research-themes/environment/""><strong>Environment</strong></a> research theme with a focus on applying technological and sustainable solutions to contemporary problems. Our knowledge transfer expertise and management supporting tools assist a wide range of industrial and non-industrial stakeholders such as national and local government, a wide range of private sector organisations, regulatory bodies, water and waste companies, Non-governmental organisations (NGOs) and health boards.</p>
<p>We have a formidable track record in combining academic skills and commercial expertise with our research approach being very much multi-disciplinary and industry-facing resulting in the expertise of our staff being much sought after by businesses and professionals in the field operating at an International Level. We are a member of SAGES network, a collaboration of Scottish Universities whose goal it is to provide the highest quality/world-leading postgraduate education and research experience. </p>
<p> </p>
                </div>",,
"Sport Forensics",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/sport-forensics/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:a.cameron@abertay.ac.uk"">Dean</a> to discuss your proposal.</p>
<p>Sport has a unique, high profile position globally, and is significantly important because of its wide-ranging financial, health and social benefits. However, there is a risk that these impacts will not be realised because we are in the middle of an era when sport is being undermined by a range of internal and external corruptive forces, such as doping, gambling, and an increasing number of welfare issues. Robust research is needed to help grow trustworthiness and protect the sport system from fraud, misconduct and non-compliance.</p>
<p>The Sport Forensics research programme, developed and delivered by Abertay University with KPMG, is the first in the world focused on supporting sporting organisations in achieving the highest levels of integrity. The programme uniquely applies a forensic approach to examine where behaviour doesn’t comply with expectations or regulations in sport. Research projects focus on hidden factors that may be impacting negatively within sports organisations.</p>
<p> </p>
                </div>",,
"Sport and Exercise Science",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/sport-and-exercise-science/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:a.cameron@abertay.ac.uk"">Dean</a> to discuss your proposal.</p>
<p>Abertay’s Sport and Exercise Sciences Division has expertise in women’s sport equity; sedentary lifestyle risk factors; exercise and health training interventions; high-intensity exercise; elite sports performance; and healthy ageing. Much of this research focuses on work involving populations with protected characteristics (e.g. age, gender, disability) and aims to contribute to the duty of care agenda, which has growing salience as an issue in contemporary sport. This complements our work with Police Scotland, Active Schools, national governing bodies, charities and SMEs.</p>
<p>The Division has two designated human performance laboratories for physiological measurement, a strength and conditioning laboratory, and a biomechanics laboratory to support teaching and research. These facilities allow access to EMG and ECG equipment; ergometers; biofeedback systems; accelerometry; force transducers; electronic timing systems; gas and blood analysis equipment; GSR equipment and software; BioHarness Telemetry System; Vicon 3D motion analysis system; force platform; jump mats; segmental bio-impedance; body composition analysis; and linear position transducers.</p>
<p>Interdisciplinary work with other divisions enables access to more specialist biochemical and molecular physiology equipment, as well as opportunities to explore realistic human movement with our games design colleague’s.</p>
<p>Abertay researchers have established performance partnerships with the Scottish Rugby Union, Dundee United Football Club, Dundee Football Club, Fife Flyers Ice Hockey team, and this work is generating a number of new and exciting research opportunities.</p>
<p>Our research programmes will prepare you for a rewarding career as an academic and researcher, as well as opening up opportunities for a diverse range of careers outside of academia.</p>
                </div>",,
"Sociology",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/sociology/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:m.branine@abertay.ac.uk"">Dean</a> to discuss your proposal.</p>
<p>Sociology’s postgraduate culture centres on students completing an MA by Research; MPhil or PhD. As an Abertay researcher, you will collaborate across disciplines with colleagues from other divisions. We have been a key partner in a number of large European grants specifically examining the interaction between technology, society and social innovation, as well as exploring social network dynamics for collective awareness.</p>
<p>Division staff have supervised a wide range of projects some of which have entailed partnership with non-academic user groups in the domains of:</p>
<p>Policy sociology – health, education, youth, environment, influencing public policy, communities and professional practice.</p>
<p>Criminal justice – influencing policing and criminal justice stakeholders.</p>
<p>Media, arts and cultural industries – centring on digital design processes, media educationalists, artists and curators.</p>
<p>Collaborations exist with criminal justice and policing researchers through the inter-university Scottish Institute for Policing Research (SIPR), the Scottish Informatics and Computer Science Alliance (SICSA), and with media educationalists through the Association for Media Education in Scotland (AMES).</p>
<p>Our research programmes will prepare you for a rewarding career as an academic and researcher, as well as opening up opportunities for a diverse range of careers outside of academia, for example, in formulating policy.</p>
                </div>",,
"Sensory and analytical science of food and drink products",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/sensory-and-analytical-science-of-food-and-drink-products/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:a.cameron@abertay.ac.uk"">Dean</a> to discuss your proposal.</p>
<p>The food and drink industry is extremely important to the UK/Scottish economy and Abertay research within the <a rel=""noopener noreferrer"" href=""/schools/school-of-applied-sciences/division-of-engineering-and-food-science/"" target=""_blank"" title=""Division of Engineering and Food Science"">Division of Engineering and Food Science</a> is at the forefront of new developments and knowledge transfer in food innovation and sustainability.</p>
<p>Current research projects cover a range of food science and technology topics. These include: evaluation of novel yeasts for whisky fermentations, legumes as sustainable raw materials for foods and beverages, non-thermal food preservation processes, ultasound extraction of food bioactives, Maillard reaction products, food antioxidants, E-cigarette emissions, sensory science using electromyography and chemistry of oak maturation of spirits.</p>
<p>Experts in the Division are also researching aspects of human nutrition and public health and have been contributing to Scottish Government policy on food and dietary issues specifically pertaining to Scotland. </p>
<p>We collaborate closely with industry and external research institutes and have excellent laboratory and pilot plant facilities for research and new product development, together with a state-of-the art sensory suite for consumer evaluation of novel food and drink products.</p>
<p> </p>
                </div>",,
"Renewable Energy Accounting and Finance",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/renewable-energy-accounting-and-finance/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:m.branine@abertay.ac.uk"">D</a><a href=""mailto:m.branine@abertay.ac.uk"">e</a><a href=""mailto:m.branine@abertay.ac.uk"">an</a> to discuss your proposal.</p>
<p>A research project in the area of renewable energy, sustainability and environmental accountability could address issues concerning financial/nonfinancial measurements, reporting, as well as financial analysis relating to conventional energy, nonconventional energy, transitioning to clean energy, carbon emission and pursuit of global environmental sustainability objectives.</p>
<p>A research degree in this area may appeal if you are looking to develop a career in the national energy sectors, the renewable energy generation/distribution subsector and related international energy organisations. A research degree at Abertay can also prepare you for a rewarding career as an academic and researcher.</p>
                </div>",,
"Real Estate Finance",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/real-estate-finance/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:m.branine@abertay.ac.uk"">Dean</a> to discuss your proposal.</p>
<p>The economics of providing high-quality accommodation has become a global issue in the 21st Century. Owner-occupation is declining and governments around the world are withdrawing from the housing sector as private sector involvement continues to grow. In the UK, Labour/Conservative governments alike have addressed the need for institutional investment with measures/structures aimed at encouraging investment within real estate. However, institutional investment remains comparatively low, with buy-to-let being a fractured/cottage industry. Real Estate Investment Trust is a specialist area within Abertay, with academic staff having considerable professional experience within the asset management industry. Industry links are vital for relevant research within the sector, and Abertay is fortunate to employ staff who are active members of both the Society of Property Forecasters and are CFA charter holders.</p>
<p>Abertay’s vibrant research culture encourages areas of cross-disciplinary and inter-disciplinary working, and draws from accountancy, economics and law. We are a member of the SGSSS network, a collaboration of Scottish Universities whose goal it is to provide world-leading postgraduate education and research.</p>
<p>Our research programmes will prepare you for a rewarding career as an academic and researcher, as well as opening up opportunities for a diverse range of careers outside of academia.</p>
                </div>",,
"Public-Private Partnerships",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/public-private-partnerships-ppps/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:m.branine@abertay.ac.uk"">Dean</a> to discuss your proposal.</p>
<p>Public-Private Partnerships (PPPs) are an increasingly popular form of collaboration in which a private company provides public services instead of the government. There are range of issues regarding PPPs: what are the grounds that justify a PPP launch; what are the critical success factors; how can risk be mitigated; how can partners effectively interact; what are the methods of dispute resolution. A research project in this area could investigate methods of risk assessment, forms of risk mitigation and other critical issues in partner interaction.</p>
<p>Our research programmes will prepare you for a rewarding career as an academic and researcher, as well as opening up opportunities for a diverse range of careers outside of academia.</p>
                </div>",,
"Professional  development and professional practice in mental health",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/professional-development-and-professional-practice-in-mental-health/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:a.cameron@abertay.ac.uk"">Dean</a> to discuss your proposal.</p>
<p>Research and knowledge exchange within the field of mental and physical health/wellbeing is a key priority for the 21<sup>st</sup> century.  Our divisional expertise spans a number of areas central to responding to societal and medical needs.  This is carried out within a range of contexts and using a number of research methodologies.</p>
<p>Current research covers areas of:-</p>
<ol>
<li>counselling and mental health such as projects to understand and respond to the impact of long-term health conditions; the impact of developmental challenges and childhood experiences of mental health challenge; as well as the development of mental health professionals, best practice, and resilience within nursing care contexts.</li>
<li>Health-related biomolecular and genetic research:- for example, the examination of the pathophysiology of infertility; anti-microbial resistance and impact environmental contaminant exposure; and comparative physiology of metabolism. </li>
</ol>
<p>All of which are supported by expertise in research ethics and statistical modelling.</p>
                </div>",,
"Process and outcome of counselling",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/process-and-outcome-of-counselling/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:a.cameron@abertay.ac.uk"">Dean</a> to discuss your proposal.</p>
<p>Research and knowledge exchange within the field of mental and physical health/wellbeing is a key priority for the 21<sup>st</sup> century.  Our divisional expertise spans a number of areas central to responding to societal and medical needs.  This is carried out within a range of contexts and using a number of research methodologies.</p>
<p>Current research covers areas of:-</p>
<ol>
<li>counselling and mental health such as projects to understand and respond to the impact of long-term health conditions; the impact of developmental challenges and childhood experiences of mental health challenge; as well as the development of mental health professionals, best practice, and resilience within nursing care contexts.</li>
<li>Health-related biomolecular and genetic research:- for example, the examination of the pathophysiology of infertility; anti-microbial resistance and impact environmental contaminant exposure; and comparative physiology of metabolism. </li>
</ol>
<p>All of which are supported by expertise in research ethics and statistical modelling.</p>
                </div>",,
"Pro-Environmental Consumer Behaviour",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/pro-environmental-consumer-behaviour/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:a.cameron@abertay.ac.uk"">Dean</a> to discuss your proposal.</p>
<p>Pro-environmental consumer behaviour is of critical importance in the current global context of accelerating climate change. Potential research projects could explore ways in which marketing and consumer psychology can contribute to the adoption of more environmentally-friendly lifestyles, including the consumption of sustainable, recycled and/or organic products, the promotion of sustainable behaviours, and determinants of pro-environmental behaviour and consumption.</p>
<p>Our research programmes will prepare you for a rewarding career as an academic and researcher, as well as opening up opportunities for a diverse range of careers outside of academia.</p>
                </div>",,
"Performance and Play",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/performance-and-play/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p style=""margin-bottom: 15.0pt; line-height: 21.0pt;""><span style=""font-family: 'Verdana',sans-serif; color: #5d6669;"">This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with <a rel=""noopener noreferrer"" href=""mailto:g.white@abertay.ac.uk"" target=""_blank"">the Dean</a> to discuss your proposal.</span></p>
<p>Drawing upon the expertise of academic staff across Games an Arts, Abertay has track record in cutting-edge research that bridges the performing arts and videogames. This broad academic field encompasses academic support at Abertay from practitioner-researchers in disciplines such as game design, computer arts, theatre design, sound and music, and game and media studies.</p>
<p>Research in Performance and Play may cover studies of communities of practice, experimental practice-research utilising digital and traditional media, incorporation of screen technologies and extended reality (XR) applications into site-specific performance and art, and studies of performance audiences.</p>
<p>Abertay University is the lead partner for <a href=""https://www.innovationforgames.com/"">InGAME: Innovation for Games and Media Enterprise</a>, an AHRC-funded R&amp;D centre for Dundee’s games cluster. Postgraduate students at the University will have access to research and development opportunities, as well as contact with professionals working within the games industry. Dundee is one of the UK’s oldest and most successful games hubs, and we have longstanding relationships with local, national and international game studios.</p>
                </div>",,
"New food and drink product development",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/new-food-and-drink-product-development/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <h3>New food and drink product development – practical collaborations with industry through Food Innovation@Abertay</h3>
<p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:a.cameron@abertay.ac.uk"">Dean</a> to discuss your proposal.</p>
<p>The food and drink industry is extremely important to the UK/Scottish economy and Abertay research within the <a rel=""noopener noreferrer"" href=""/schools/school-of-applied-sciences/division-of-engineering-and-food-science/"" target=""_blank"" title=""Division of Engineering and Food Science"">Division of Engineering and Food Science</a> is at the forefront of new developments and knowledge transfer in food innovation and sustainability.</p>
<p>Current research projects cover a range of food science and technology topics. These include: evaluation of novel yeasts for whisky fermentations, legumes as sustainable raw materials for foods and beverages, non-thermal food preservation processes, ultasound extraction of food bioactives, Maillard reaction products, food antioxidants, E-cigarette emissions, sensory science using electromyography and chemistry of oak maturation of spirits.</p>
<p>Experts in the Division are also researching aspects of human nutrition and public health and have been contributing to Scottish Government policy on food and dietary issues specifically pertaining to Scotland. </p>
<p>We collaborate closely with industry and external research institutes and have excellent laboratory and pilot plant facilities for research and new product development, together with a state-of-the art sensory suite for consumer evaluation of novel food and drink products.</p>
<p> </p>
                </div>",,
"Organisational Change",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/organisational-change/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:m.branine@abertay.ac.uk"">Dean</a> to discuss your proposal.</p>
<p>Organisational change refers to the area of management concerned with adjustments in business processes, organisational structure or cultural changes within an enterprise. Its main focus is on people, and their performance and productivity. As a PhD, MPhil or MSc by Research student, you will focus on the latest developments in organisation studies, while aiming at the development of a framework to improve the success rate of change initiatives.</p>
<p>Applicants from any walk of life are welcome to join our team of business professionals. There will be projects with a predefined line of enquiry as well as open-ended ones allowing applicants to scope their own research projects, leading to the development of a knowledge base in change management.</p>
<p>Our research programmes will prepare you for a rewarding career as an academic and researcher, as well as opening up opportunities for a diverse range of careers outside of academia.</p>
                </div>",,
"Mental Health Nursing",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/mental-health-nursing/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:a.cameron@abertay.ac.uk"">Dean</a> to discuss your proposal.</p>
<p>The Division of Mental Health Nursing &amp; Counselling has active research programmes (MSc, MPhil, PhD) in mental health nursing practice as a specialist discipline, with a focus on practitioners, education, clinical practice and pluralistic counselling. Researchers from both strands collaborate with colleagues from across the University.</p>
<p>The partnership with the Scottish Nursing, Midwifery and Allied Health Professionals Research Unit, has led to the Division having a thriving MSc by Research programme for mental health nurses.</p>
<p>The Division is also home to the Tayside Centre for Counselling – a counselling clinic, which supports research degrees in areas such as adjustment to disability and/or long-term health conditions, the effectiveness of counselling interventions, and development of the Pluralistic Framework for Counselling and Psychotherapy Integration.</p>
<p>The clinic is a partner to a number of other UK institutions with shared research aims.</p>
<p>Our research programmes will prepare you for a rewarding career as an academic and researcher, as well as opening up opportunities for a diverse range of careers outside of academia.</p>
                </div>",,
"Oil and Gas Accounting and Finance (OGAF)",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/oil-and-gas-accounting-and-finance/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:m.branine@abertay.ac.uk"">Dean</a> to discuss your proposal.</p>
<p>The Abertay Oil and Gas Accounting and Finance (OGAF) group consists of an interdisciplinary group of academics and practitioners with extensive academic and practical experience of all business, management and commercial aspects of oil, gas and energy. The group has a particular focus on developing an ongoing dialogue with industry practitioners and organisations through a focussed programme of research, consultancy and continuing professional development programmes. The group is led by Professor Reza Kouhy who holds a Chair of Energy and Environmental Accounting.</p>
<p>Abertay has a very strong history of research projects, PhD supervision and publications in high-quality journals on such issues as corporate disclosures on environmental issues; abandonment problems associated with oil and gas companies operating in the North Sea and Nigeria and the implications for UK governmental policy; gas flaring and oil spillage, legitimacy and environmental disclosures. These projects have shown that some corporations disclose environmental information (including oil and gas related information) so as to either legitimise their activities or to report a more favourable set of accounts. The group intends to build on this work, through PhD supervisions by studying the link between environmental disclosures and corporate performance; environmental responsibilities and governmental control; legitimacy and regulation; internationalisation of standards and corporate accountability, and oil and gas reserves valuation.</p>
<p>Our research programmes will prepare you for a rewarding career as an academic and researcher, as well as opening up opportunities for a diverse range of careers outside of academia.</p>
                </div>",,
"Mental Health Counselling",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/mental-health-counselling/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:a.cameron@abertay.ac.uk"">Dean</a> to discuss your proposal.</p>
<p>The Division of Mental Health Nursing &amp; Counselling has active research programmes (MSc, MPhil, PhD) in mental health nursing practice as a specialist discipline, with a focus on practitioners, education, clinical practice and pluralistic counselling. Researchers from both strands collaborate with colleagues from across the University.</p>
<p>The partnership with the Scottish Nursing, Midwifery and Allied Health Professionals Research Unit, has led to the Division having a thriving MSc by Research programme for mental health nurses.</p>
<p>The Division is also home to the Tayside Centre for Counselling – a counselling clinic, which supports research degrees in areas such as adjustment to disability and/or long-term health conditions, the effectiveness of counselling interventions, and development of the Pluralistic Framework for Counselling and Psychotherapy Integration.</p>
<p>The clinic is a partner to a number of other UK institutions with shared research aims.</p>
<p>Our research programmes will prepare you for a rewarding career as an academic and researcher, as well as opening up opportunities for a diverse range of careers outside of academia.</p>
                </div>",,
"Marketing",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/marketing/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:m.branine@abertay.ac.uk"">Dean</a> to discuss your proposal.</p>
<p>Abertay’s research culture encourages areas of cross-disciplinary and inter-disciplinary working that are consubstantial to the latest evolutions of the marketing discipline.</p>
<p>We are particularly attentive to the latest evolutions in knowledge and practice that relate to strategic and digital marketing, and consumer behaviour.</p>
<p>We are a member of the CIM (Chartered Institute of Marketing) network and work closely with businesses. We preserve this proximity by encouraging dialogue with companies, organising guest speakers in the classroom and giving our students the opportunity to work on problems facing real businesses.</p>
<p>Our research programmes will prepare you for a rewarding career as an academic and researcher, as well as opening up opportunities for a diverse range of careers outside of academia.</p>
                </div>",,
"Managing Across Cultures",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/managing-across-cultures/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:m.branine@abertay.ac.uk"">Dean</a> to discuss your proposal.</p>
<p>While recognising the importance of cultural influences on management theories and practices, and, at the same time, accepting the argument that many societies are becoming similar in their management objectives, research in this area could define the process of managing across cultures as simply the management of local employees globally and international employees locally.</p>
<p>Your research degree could involve looking at ways national cultural differences influence the employment policies and practices of different countries and the ways national and international organisations have responded to them.</p>
<p>A research degree at Abertay will prepare you for a rewarding career as an academic and researcher, as well as opening up opportunities for a diverse range of careers outside of academia.</p>
                </div>",,
"Leadership",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/leadership/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:m.branine@abertay.ac.uk"">Dean</a> to discuss your propo<em>sal.</em></p>
<p>Within the broad area of management, there are multiple themes available to study an MSc by Research, MPhil or PhD.</p>
<p>Specific topics could be formed to investigate management at an organisational, regional and/or national level, as well as in certain sectors of the economy. Example projects include corporate governance and management in the pharmaceuticals industry; management of infrastructure development projects, such as housing construction; and management in the banking sector.</p>
<p>You may adopt a variety of methodological approaches, both quantitative and qualitative, as part of your research.</p>
<p>Our research programmes will prepare you for a rewarding career as an academic and researcher, as well as opening up opportunities for a diverse range of careers outside of academia.</p>
                </div>",,
